toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad
"1069.01","KP",2.9776446,2.9620000,13022.0000000,14.4339000,1461.0000000,758.3240000,5703.0000000,4.2582400,1.2200000
"107.01","KP",3.9502008,4.4440000,13914.0000000,20.5357000,1570.0000000,1009.3800000,6153.0000000,4.1807700,1.7100000
"1070.01","FP",2.9776152,3.2569700,43218.1116830,26.8842300,1386.5000000,873.2700000,5740.0000000,4.2921900,1.2800000
"1071.01","KP",3.5544026,2.0550535,10164.8753396,13.2006770,1214.9876435,515.0014435,5639.0000000,4.3717200,1.1149900
"1072.01","FP",12.8379689,9.8464123,10539.0192794,25.4886382,1225.0000000,374.1290000,5765.0000000,4.3477300,2.4494000
"1073.01","CP",3.9228016,1.8736007,31510.9004906,13.3368705,788.0973496,91.1675890,4444.0000000,4.4380000,0.6983000
"1074.01","PC",13.9428705,3.7522756,1015.3955430,2.4233421,587.1759148,28.0927293,5206.0000000,4.6309500,0.7416710
"1075.01","CP",0.6047392,1.0403847,1027.6833479,1.8625587,1222.5973095,528.0253155,4046.0000000,4.6096300,0.5803370
"1076.01","KP",2.5495611,2.6173308,14921.4021936,12.9171288,1337.8645148,757.1284067,5659.0000000,4.4465300,1.0399700
"1077.01","PC",1.6062693,1.9561305,16725.3019333,12.6436029,1374.8018137,844.2700581,5192.0000000,4.4617000,0.9843260
"1048.01","FP",0.3041200,0.7480000,1330.0000000,10.4170000,6413.0000000,280833.0000000,11892.0000000,4.1400000,2.5200000
"1049.01","KP",2.1805333,2.9443745,16399.8584641,16.6994623,1654.4026623,1770.4590366,6599.0000000,4.2101700,1.2714601
"105.01","KP",2.1846669,2.6989102,11535.5475157,13.7127047,2033.9398041,2841.0561889,5630.0000000,4.3775900,1.2382400
"1050.01","KP",3.7354838,4.1420000,17030.0000000,21.2315000,1670.0000000,1292.1900000,6650.0000000,4.1639000,1.5700000
"1051.01","FA",21.7016690,8.2676424,211.6567325,2.3751494,685.2000000,52.0950000,5625.0000000,4.4380000,1.5648600
"1052.01","CP",9.1398040,3.0912936,358.4157801,3.0629855,1006.9932829,243.0117630,5958.2000000,4.3400000,1.5800000
"1053.01","FP",5.7426250,2.8602930,1105.7608670,13.0885320,,,5664.0000000,3.2657400,3.8695900
"1054.01","CP",15.5077855,4.5650000,513.0000000,2.4343200,853.0000000,88.0718000,6122.0000000,4.3088100,1.1700000
"1055.01","CP",17.4713078,4.4284819,1199.7541483,3.5766828,689.3568807,53.3700317,5783.5400000,4.4992500,0.9746690
"1056.01","PC",5.3079507,3.2158594,391.3830934,3.0486928,1263.9861129,603.2401116,6124.3000000,4.3800000,1.3696300
"1057.01","PC",51.1701501,6.6641048,851.4547808,2.9366826,466.7322968,11.2148229,5599.0000000,4.4613800,0.9433560
"1058.01","PC",11.1296441,7.0473822,951.6169809,12.8402271,1518.2372485,1255.6817164,5785.0000000,4.3440000,3.4475601
"1059.01","PC",9.4496506,2.0210000,19750.0000000,17.0216000,694.0000000,38.5799000,5509.0000000,4.3975800,0.9400000
"106.01","KP",2.8493827,3.5488880,7740.4889995,16.0782163,2399.4720439,5502.8822312,6900.0000000,4.4380000,1.7700000
"1060.01","APC",2.0685633,0.3730000,502.0000000,3.8973900,619.0000000,24.4090000,5687.9000000,4.6000000,1.1400000
